,LABEL,COMMENT
195,GM,"Aa vidio all time hit che, maja j aave che jovani."
201,GM,Oho
208,GM,Gjb
211,GM,Comedi no rokstar jitu bhai pandya
212,GM,"Aa maro pasandgino vidio àª›à«‡, àª†àª–àª¾ àª¦àª¿àªµàª¸ ma 50,60 vakhat jov àª›à«àª‚, maja j    aave che"
213,GM,JordarðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ
216,GM,me teddy bear tame avi gya tha
217,GM,yarrr madam kem cho
218,GM,"Aa vidio joya pachi, hu pan tamara jem bolvani try karu chu, pan salu bolatuj nathi,"
221,GM,"Manguben ane jitubhai, tamara  acting ni barabari koi na kari sake,"
223,GM,Jordar comedy
224,GM,Sars
226,GM,Jordar jitu bhai
227,GM,mane tamara video jova khubaj game
228,GM,Mangu bau bali gai.......vaah
230,GM,Jordar  comedy jitu bhai mangu ben
232,GM,Ha jitubhi
233,GM,Jordhar jitu bhai
235,GM,Hu Tamaro bahuj fen chu
245,GM,Hamoj
254,GM,Jitu Tamara jevo problem mare che
258,GM,Jor daar jitu
259,GM,Jitu bhai aek  movie banavo mangu jode  hit jase ðŸ‘ŒðŸ‘ŒðŸ‘Œ
260,GM,Jordar jitu bhai
261,GM,ha Mara lunawada ni moj
263,GM,wow majja aavi..
267,GM,Ha moj ha
269,GM,Oho Nyc  jitu  bhai
272,GM,Ha moj moj
274,GM,Pubg par jokes lavo
276,GM,sabu
277,GM,sabu
280,GM,jitu bhai have 1 avo comedy joks banavo ke tame mahisagana hoy ane mangu bija koi najik gaamni hoy
282,GM,Vah jitu jamavat...ðŸ˜‚
284,GM,Jaaakkks
286,GM,Ha moj
288,GM,Jordar jitu bhai.......
290,GM,jordarrrr
299,GM,Mast video
302,GM,Call krjo saheb muh tmaro mitra  che maro no.7568551744
303,GM,Nice deshi language seem to be of Idar
305,GM,Jordar jitubhai
307,GM,Ha tamari moj ha
308,GM,Bhai mangu nu mo sadelu nai bauj sars se ...ane aavaj pan bau saras se.....
309,GM,Ha moj ha misscall karo
314,GM,ha maru visnagar ni mangu ha
315,GM,Sree gojriya na video
328,GM,Jordar realy... â˜ºðŸ˜ðŸ˜˜
331,GM,vaah jitu bhai ane greva ji superb performance..maja avi gayi keep it up
333,GM,Bov jagad so nai
334,GM,Massage   kar   bhai......
339,GM,06/01/2019 na roj levaye exam ma su farak hato  answers:
340,GM,pahela je exam pepper avta hata te khakhi kawer ma silband avatahata ne sil kholva supper vaiser bled vapperta  to avakhate pepper plastiic ni patti lagayel  & plastic ni bag ma hata  siltodva kattar apvama avi hati je khulla ane banch vagarna hata
341,GM,maza aavi gay bhai
342,GM,ha moj ha
344,GM,Tamaari merbani tame Tamara sahkoni help Karo
345,GM,Please jitu Bhai Atli help Karo
346,GM,Jitu Bhai mare Tamara nabar ni jarurat s6
347,GM,Jitu Bhai tamaro WhatsApp nabar alo
353,GM,Bhai tama visnagar na cho
354,GM,Wahh
357,GM,Aa magu to parag kansara ni wife s6
367,GM,Tam kai Na jhoðŸ¤˜ðŸ˜‚
368,GM,Moj.ni. moj
369,GM,Sansar che chalya kare samadhan kari nakho Bhai.
378,GM,Chalo jitubhai apne beu Jana tedva jaiye9879958811
380,GM,Jordar jitu
387,GM,Jabardast tara piyar ma pag nai muku
389,GM,Ha MOJJ ha
391,GM,Jordar video che ho jitu
393,GM,Saras
396,GM,Kaheta hoy to me ek story aapu....
397,GM,Jordar
399,GM,Ane keh vai ghar sansar
400,GM,Bangar video
401,GM,good
408,GM,maza aavi gaii....
412,GM,Jordar
419,GM,Tamara jevu comedy joyu Nathi.. ekdam refreshing video.. Jitubhai Manguben.ðŸ˜€ðŸ‘Œ
421,GM,jor dar
423,GM,Jordar jitu Bhai & Mangu ben
428,GM,Jordar
432,GM,Jorda jitu bhai .college .timy aavi j masti  hati
433,GM,Jordarr
435,GM,Bhabhi mast he
436,GM,maja avi gai
437,GM,ala nor dar che jitu jamavat
439,GM,JORDAR
440,GM,kem sarkar lunawada ma padharvana cho em
441,GM,masht
443,GM,Trending ma ch wah MaruGujarat
444,GM,diu parogaram ma super dans krta
446,GM,Jordarr Jitu bhai
449,GM,Mst jitu bhai
452,GM,Gajab comedy bhai..
453,GM,Gujarati muni
454,GM,jitu bhai jor Ha
455,GM,Hadgud ma aya hamna na maliya
457,GM,Ha jitu Bhai tamari moj
458,GM,"Wah greeva aapdi city nu nam boli tu ""visngar""ðŸ‘"
459,GM,jordar  jokes
460,GM,jordar  jokes
461,GM,Mast
462,GM,Jitu bhai tame ane mangu ji real ma kyarey ek bija thi risaya cho khara???
463,GM,"Wah jitu bhai wah, jordar jockes che yar"
464,GM,Hahaha
465,GM,Jakkkkkkkkkkkas jok
468,GM,Vah vah
471,GM,Mangu nai to kai nao amaniben biji tensan nai levanu
473,GM,Ha jitubhai tamaro vat ha
478,GM,hahahaheeh nice comedy .. title pan best chhe tara piyar ma pag nahi muku ...best..
482,GM,Mangu didi jode
483,GM,Avu na karay Jitubhai
487,GM,mast
488,GM,mast
489,GM,Ha moj
491,GM,Bov maja aavi jitu bhai
493,GM,Ha moj ha
499,GM,Bauj Superb ... Haju ano bijo part banavo pls .. superb video chhe bhai thank you ..
500,GM,Wah superb video ho
520,GM,Nice brother jitu bhai ni moj
523,GM,akdam maja aavi
526,GM,Mangu jevi koi nahi boss
531,GM,Mota
533,GM,Video saro hato.But last seen ma prem thi Mercedes ma besi ne Ghare javanu hatu. jo prem thi ghare gaya hot to ketlak eva loko ni Problem Sol thai jati..pan last ma mammi ne phone karvathi.pacha zagdi padya.
534,GM,Jitubhai tame to VAT padi didho hooo
540,GM,Maja aavi gai
541,GM,Ha moj
546,GM,Jitubhai VAT MA bairavagarna Thai Javay bhai
547,GM,vah.jitubhai
549,GM,Jitubhai jordar
550,GM,Manguban na bolayo
558,GM,vah  jitubhai
563,GM,Super jitu Bhai moj ave gay ho baki
564,GM,mojj padi didhi
565,GM,ha Jintubha ha tamari styles  jordar
566,GM,bapu jordar ho
567,GM,Kharekhar jitu Bhai tame jordar jok banayo che hu munnabhai Bhatti
569,GM,Jitu Bhai aevu na che yaar tame roj na 1 vidio banavo Bhai aje athavadiya pachi 1 vidio banayu che
571,GM,Nombar mokalavjo
572,GM,Ekdum jakas jitukaka and mangu
576,GM,Jordar jitu bhai
577,GM,Ha pachu setig thaygayu
578,GM,Ha tamari moj jitu mangu jodi
580,GM,Ha jitu bhai magu ben char divas thi risay gayti atale. Vidio nthi aavi char divas thi banad hati
581,GM,Avu to mare pan thayu hatu jitu bhai  .love ma
583,GM,Jordar  jitu  bhai  aa  vidio  ma  jordar  maza  aavi  jitu bhai  .
584,GM,jordar....
585,GM,jitubhai roj video upload karoo to moj aave bhai
595,GM,Ha bhai ha
596,GM,Jitubhai manguben no1 jodi
597,GM,Mangu ji jitu bhai good
602,GM,Ha moj
604,GM,Jordar jitu  mangu
605,GM,Jitubhai bav divase video aavyo lunawada jci ma kyare aavo cho
606,GM,bhag 2 banavo
607,GM,jitu bhai tamaro idea to super ha ane mangu bhabhi pan kai jeva teva nathi ha joradar 6 a joks ha jitu bhai ..lunawada pruthviraj baria
608,GM,Kyua khovai gaya hata ghana samay pachi vedio aayo ho bapu maja padi gai........ ho k.... B. Oza(army) city:-Meerut  (Utterpradesh)
610,GM,Mangu visnagar na 6
613,GM,Jitu bhai jordar video
614,GM,Subscribe Karo may àªšà«‡àª¨àª²
617,GM,Ha moj ha
634,GM,Ha mangu vishnagar vadi moj moj moj moje dariya..... Risayel mangu bahu Sari lage Se..........
637,GM,Bhai man thyu tu
640,GM,Jitu bhai.  Jordar. Jokes. Gadi na panchar valo video banaya pachi. Bahu j time pachi tme video mukyo che. Hu ghana time thi rah joi ne thaki gyo. Pn bahu j mja aavi. 
641,GM,Gadi na panchar no bijo part banavo.  Ghani mja aavi. 
642,GM,Ek be peg me pidha ae video hu roj jou chu. Part 2 banavo. Plz... 
643,GM,(kolej ma mali ek laila latkadi. 
644,GM,Aniyalu nak eni kali kali aankhdi.) 
645,GM,Dhiren randheja sir bahu j nava concept par kam kare che ane aap jeva hasya na sarjarn karnara mahan vaktitva badha sudhi pahochade che. Ae bahu j moti vat che....
648,GM,Vah  jitu bhai  vah  tamari  comedy jode  koi na  aava
649,GM,Jordar  comedy jitu bhai mangu ben
653,GM,Raja dipo vada chenal ambahotel vada
655,GM,ha moj ha
656,GM,Va jitu bhai va
659,GM,MANGUBEN NE MAIRIYA MA MANDU NATHI MANTU
660,GM,Mast
666,GM,vah
669,GM,Amari canal  raja bahuchar you tube full shpot karo Bhai
674,GM,jitubhai whatsapp number to aapo
676,GM,jorrrrrrrrrdddddaaaaarrrrrrr jitubhai tamari MOJJ mojj mojj
678,GM,wah jitubhai wah
681,GM,Havaj
684,GM,Please sir na hath ma kai book che anu name kyo ne ?
685,GM,.tme study karayeli je AA video ma Ema thi nai saru evu puchhavva badal
686,GM,Vagar. Clase. J. Mari to. Job. Lagi.
688,GM,Book nu name si su he
690,GM,Yadavo no vas she atiyare sir
693,GM,Sar Gujarat na jila ni PDF mokalo ne please
696,GM,Supp sir bija video banavone
698,GM,1837 avi
700,GM,Ammne to kaii sabhadatu nhi saheb
701,GM,ha moj
703,GM,Loko ne su batavo 6o yar bord batavo ne😓😓😓
707,GM,Vah
709,GM,"Video mst che ✌✌✌✌ 
 bss camera vado jra bije bije bo focus kre che"
710,GM,Dekhatuj nhi saheb
711,GM,Means k tme Kai jgya e classes kravo chho ??
712,GM,dholavira ni sodh 1967-68 ma thai hati.
714,GM,Khoti information no apo
715,GM,Jordar sir mst lecture che good work sir thx🙏🙏🙏
717,GM,Sir tamaru address su chhe ?? 
719,GM,nice lecture sir…
722,GM,ane amari je pan bhul hoy te sudhre te mate plizzzzzzzz sirrrrrrr.....🙏🙏🙏🙏🙏🙏
724,GM,Sir consteble na video banavo Cho
726,GM, me bandharan check karyu ek pn vastu baki nathi reti 
728,GM,pela spipa vada pratik nayak ne sikhvado aa badhu. ena facts khota hoy chhe
729,GM, to pliz sir Aa Pdf telegram chanal ma upload karo jethi Amne solve karta ane amari je pan bhul hoy te sudhre te mate plizzzzzzzz sirrrrrrr.....🙏🙏🙏🙏🙏🙏
730,GM, to pliz sir Aa Pdf telegram chanal ma upload karo jethi Amne solve karta 
731,GM,sir jordar ho baki! 
732,GM," darek topic cover kare che, "
733,GM,"Mitro,  bharat academy ni app sache j khub saras che"
734,GM,Student ne amare nathi jova bord per j camero rakho
735,GM,1960 sudhi sampurna k y ne
736,GM,Sir ama to sampurna nathi kya sudhi no che
738,GM,Sir aaj ni test Kem nai dekhadta
739,GM,Sir bahuj jordar sir binsachivalay mate aa type na video muko ne bahu help thay che video thi easy pade che samjvu
741,GM,sauthi motu harapa site rakhigari che haryana nu india ma
742,GM,power full lecture htu sir moj padi gae ho
743,GM,thank you for this video
744,GM,History ma khub bhalo se sir
745,GM,History na question ma bhulo se sir
746,GM,Sir sanchay Nidhi modhi nana udapva sansad aave
747,GM,App download kari pan login karya pachi continue....
748,GM,Tmari app kae se
749,GM,Jorrdaar ho baaki
750,GM,sir English and maths na video  muko plsss
751,GM,Gop nu mandir kaya se
752,GM,Su MANU pachar VAIVASVAT lagavu k nai...???
753,GM,Baki rahi jatu hoy to kaho to ame kari laiye pan itihas ma kai bakirevu na jove
754,GM,Sir aa lectuter ma Gujrat no itihas puro aai gyo k kai baki rahi jay
755,GM,Bharat academy ne maro khub aabhar saheb
756,GM,❌❌❌ Arthsashtra Economic ni book nathi. E to political science ni book 6e.
760,GM,Bharat No itihas No Video Share Karo
763,GM,Vata padhtii badhi book ma chhe sahen tame ko koik book m a jova malse
766,GM, option avya kare che plzz reply what can i do ??
768,GM,Sir barobar dekhatu nathi
770,GM,Thank you sir but explain pn Karo
771,GM,Best Lecture chhe Sir Moj avi gyyy Thank you Boos Sathe Enjoy pan karavo chho
774,GM,Gujarat na jilla ni best tricks
775,GM,Sir sansukrit varso Na ake avo banvi dyo pls request
776,GM,Narmada Khambhat na akhat ne made
778,GM,Telligram  link aapo
781,GM,sir.... subo etle shu tame sharuat ma bolya  e
782,GM,Sir RAJYASHASTRA subject VISHE EK lecture aapo pleaz
783,GM,Verry good hal binsachivalay mate usefull se
784,GM,Sir dekhatu  clean nathi
799,GM,Ek numberrrrrrrrrr superrrrrrr
800,GM,Pdf apo
803,GM,New om Santi ma ap Avya Ta
814,GM,Book dekhati nthi
816,GM,Sir book malse bandharan ni
817,GM,Bv jordarrrr👌👌👌👌💐
818,GM,"Vaah bapu vaah 
 The best style"
820,GM,Jordar
821,GM,"Clear voice nathi avto ans....  Plz   
 Next time video banavo to ans sir ap ripit karso"
823,GM,vah  sir
826,GM,Bdha boleto sablatu nhi
827,GM,Jordar sar
828,GM,Samjatu nhine sar thodu dime sar
829,GM,Sir pdf mali sake bandharn ni
830,GM,Vah sir su lecture che tamaro bahuj sundar ho kevu pade ho
831,GM,Constable na result ni vat krine...bou khotu kryu...dukhti nas pr pag muki didho
832,GM,Sir bandharan ochhu ne dance vadhu lagyo😂
833,GM,"Sir haji nai ayu constable,😀"
834,GM,Anil sir na number hoy to aapjo bhai koy
835,GM,Paksh palta virodhi kaydo kayre amal ma aavyo ?
838,GM, bija video badharna banavo ne sir
839,GM,Sir tamari beta kevani style gami gai ho jordar sir i like ❤your all bandharan vidio
841,GM,Me hamna j tamari channel n join kari che to mne very good information Mali che
844,GM,Bakvash aa vi rite bandharan bhanavo 6o ke gokhavo
845,GM,😂😂😂😂 alav jabru bhanavo cho ho 🤣🤣
846,GM,Sir bhag 2 kyare muko soo
848,GM,"President America mathi lidhu Che....briten ma President Nathi.... 
 Shu aa sachu Che Saheb????"
849,GM,"Logicaly vicharo  
 Aatli badhi academy  
 Ex.. 60 academy gujarat ma  
 Per academy students let say 200  
 So total  12000 for  
 
 Post of 500 😑 3000 or 4000 .. 
 
 Avdtu pan hy .. to y qualify thavu  
 Lit difficult che  
 
 So take  care and .. focus in  side work  also 👍"
850,GM,🙏🙏🙏pranam saheb jordar
851,GM,Sir tamari a constitution ni book gandhinagar book store par available hase..pls tell me
852,GM,1:46  pdf hase aani
855,GM,Sir same lakhelu 6e kay aatlu kmnu yaad re 😛😁
856,GM,Wah!  Saheb Aane kehvay Gyan no pravah👍🙏
857,GM,Please sir mare constable Ni exam    apvani Che to book no photo muko ya to material send karo
858,GM,Sir book no photo muko
860,GM,Sir mare book buy karvi che
861,GM,"SIR badharanni book Levi, chhe kay rite"
862,GM,sir nice video but  some sound problem so sir you also spokes
863,GM,"100 100 Salam Sir  
 Aise hi padhate raho"
865,GM,Tamari kay kay books bajar ma chhe???? Pls answer me
866,GM,Sir as book Melvin goal to Kyoto male
867,GM,Aa book mare.levi hoi to mali sake?
868,GM,Have sayukt bedhak divorce mate bolavi joie
869,GM,Sir book no photo send karo please
871,GM,Sir book levi che kevi rite malse ?
872,GM,Sir tamari aecdmy nu material joe se kaya thi mlse
873,GM,Ha moj ha
874,GM,Vavava sar
876,GM,62 page nu material share karso???
877,GM,Sar mare constable banvu che
878,GM,aatli badhi sankya ma su bhanaave
879,GM,Hali gayu ho sir nice
882,GM,Telegram ni link mokalo
884,GM,Sir book no pic send kro
885,GM,Sir anilbhai sir no bandharan ni books purchase karvi hoy to madshe please inform me sir please
887,GM,Gajab sir.... 😍😍😍
893,GM,Book leva mate
894,GM,Kay rite 62pages material malshe
896,GM,Ha bharvad  sir ha
899,GM,Je 91 pages kahocho te
900,GM,Tamari a pdf telegram account ma muko ne
901,GM,Sir sakhu sambhadatu nathi
904,GM,Constable ni taiyari karva mate help ACADEMY search Karo free lecture
906,GM,Sir bandharniy sudhara part 2 muko n..... Request...
907,GM,"Mast video.  A1. Sir.  
 Thank you sir"
908,GM,Vah anilbhai salute....
916,GM,Sir bandharan akha Gujarat ma Tamara thi saru koi nai bhanavi sake
919,GM,Sir tamara video joya pa6i sachej bandharan man ras padyo. Thanks sir.
920,GM,Jordarrrr sir
921,GM,Jordar Sir
922,GM,Majaa aavi gai bhanvaa ni
926,GM,Waahh sirr kharekhar bov mst video...tnq tnq so much
928,GM,"😇😇😇sir...tamaro avaj bov mast chhe.... 
 
 Aetle fatafat avdi j jaay.."
930,GM,Sar atrni janral 188se to76એડવોકેટ એટર્ની જનરલ abused Kyo
931,GM,Sir hve ipc slavo
938,GM,Jordar ho bapu
946,GM,jordar sir 👌👌👌👌 most imp che 1 to like bane💕💕👍👏👏
951,GM,khub  saras
958,GM,Super ho sir 👍👍👍
959,GM,01 Number video sir........👌👌👌👌
961,GM,Khubj saras thanku sir avu mukta rahjo.
962,GM,Khub j sarsh sir apno
965,GM,"Bapu...bapu...bhuka...kadhi ..nakhya 
 Wah...wah...sir...gani..khamma"
966,GM,Supar video sr next   video muko sr
967,GM,Sar tame  jordar Shiva aapo so
968,GM,jabbrrr sir thanks
978,GM,"superb bandharan 
  plisss part 2 banao.."
981,GM,"Thank you sir 
 Rastpati & uprastpati na karto ne lgta video jo sakya hoy to mukjo sir"
987,GM,Jakkas ....aa kvay top 10...
989,GM,Saras 👌
990,GM,Sir Q7 ma thodu confusion thai tme kidhu k mulbhut adhi karo nu raxan karvani jvabdari Sc ni 6 to aama ans sansad avyo 6 to  aml ane raxan banne ak ny kevay ne  ? 🤔
992,GM,Sara's sar
994,GM,Tq sir bov let Thai gyu jovanu pn rivison karva ma useful thayu tq tq sir
998,GM,Vaah...Bharvaad...Vaah...Baapu Baapu.Jay Thakar..Jay Mogal...🙏
999,GM,"Pratham vichar lokmanya tilak  
 1894ma 
 Gandhi ji 1922"
1004,GM,Sir vache Vadhe tme chenal ni vat n kro ne ka last ma ka and ma kho to saru re qution mate 👌👌👌
1006,GM,good video thank you 
1007,GM,vchhee bolo chho atl
1013,GM,mast sir
1014,GM,Javab che vishana panch dripo(tapu)
1016,GM,Sir mega video banavo ne ramat gamat par.....Plzz....@bellif
1018,GM,Cost and selling na video banavo sir
1019,GM,Gujarat ne laine mukone
1020,GM,Jabarjast method 6 sir thanks
1024,GM,vadharanu na bolo vache
1027,GM,panch khand
1030,GM,5 khand darsave 6 aa 5 ring
1033,GM,sir pure pure mahity sathe ramat na video banavo
1034,GM,sir pure pure mahity sathe ramat na video banavo
1036,GM,Akta nu pratik 6
1038,GM,Sir ji 5 khand ni nisani 6
1039,GM,Khub saras video chhe sir thanks
1040,GM,Sir khub J salsa
1041,GM,Bas aj rite drek subject vishe samajavo anr je image sathe pan
1042,GM,Darek khad vay j color chhe
1044,GM,"Sure..... 
 Games Par Haji Ek Video Banavo....Sir"
1055,GM,5 mahadwip?
1056,GM,sachu?
1057,GM,bellif guj.highcourt no mahiti moklo.kai rite taiyari karvi.
1068,GM,kamnu che ej kone
1069,GM,vache vache vadharanu na bolo
1071,GM,Sir Eng sub tat exam part 2 mate que_ans mokalo
1072,GM,pdf kiyati madse..?
1076,GM,sir khub saras video aava biju muko
1085,GM,Cricket ma pich ni lambay 28 cm ny Ave?
1086,GM,Sir bolvani spud todi Dhami Rakhisoji
1087,GM,5 khand
1088,GM,2018 ma avnari constable farithi na lagata peper solution apo
1089,GM,Sir 2018 ma bharti avse Ena par video banavo ne
1090,GM,Sir Gujarat high court clerk mate mane form bharvu chhe to kya thi bharu??
1092,GM,vah
1093,GM,"nice video che sir ghani information male che books mathi vachi ne bor thai jaye ana krta video joi ne maja ave che nd yaad pn rahi jai che  
 thanks sir  🙏🙏"
1094,GM,seniyar clerk no video
1102,GM,5..khand..ne tet 1 mate na video banavo
1104,GM,sir old que. paper na que. video banavo ne ane old paper par thodu search kari ne tene lagta que. ans. video banavo
1107,GM,mast sir thanks
1108,GM,sir vache na bolo
1112,GM,Olympic MA 5 ring e khand batave 6
1113,GM,46- 5 khand no samuh darsave che.
1114,GM,Pach khand bn che bhai
1115,GM,"Pruthavi  na 5 khand 
 Pratik Che 
 Blue urope  
 Yellow Asia  
 Black Africa  
 Red America  
 Green Australia"
1116,GM,Thanks  sir khub  saras mahiti  apva badal dhanyavad
1118,GM,5 desh
1119,GM,"5 khand  1)bhuro=urop 2 
 2)=yello-asia        3)blak=africa    4)green= austeliya  5)red=america"
1121,GM,5 dipsamuh dasavec6
1122,GM,"sir tame je vachchhe samjan appo so ema dhyan bahar Jay se t  
 sir fakt tame question and  answer j hovo joye"
1123,GM,GUJARAT no itihash bhag Malone medam pizzz
1138,GM,Tenis table tenis 1/2            polo 4        basket  ball     5        vollyball  6         aa rite banavo to better
1143,GM,5 khand chhe
1146,GM,tet 1 na video banavo
1147,GM,tet 2 mate na special video banavo
1148,GM,Thomas cup kena related 6
1149,GM,nice .. thodi ochhi lapdo tha
1150,GM,IOC ma 5 ring darek desh vachche sambhavàna vade tenu symbol 6
1151,GM,World na panch khandoni Ekta.
1153,GM,Sir ramt gamat na haju video banavo
1155,GM,Vigat thi Sara's tame shikhvadu 6o👍
1158,GM,Aap starting ma ke last ma subscribe karvanu kaho...
1159,GM,Sir aap vache vache add na karo
1160,GM,Ioc ma avel 5 rings nu detail @ e 5 rings je che e Olympic nu logo che je 2008 and 2016 ma use krel symbol che...
1161,GM,Ane sakya hoy to gujarat highcourt na driver ni exam mate vahan/motor nu paya nu gnan ane vahan vyavhar na niyamo / traffic rules. Na videos upload krjo jethi karine amne helpfull thay ske
1162,GM,"Badha country na flag na colours avi jay che ane bhag lenar country mate ek ek ring represent kri che jem k Africa, Asia, America, Oceania and Europe."
1165,GM,Jordar
1167,GM,Video sara che sir philosophy vadhi jay che
1169,GM,Very good sir  bija video muko
1170,GM,Talati  syllabus vishe no vishesh video banavo sir
1172,GM,Police costmeble model paper 2018 ma Kam aave te moklo
1173,GM,Social science g. K video karva vinanti
1174,GM,Purthvina 5 khand nu pratinidhitv kare che
1177,GM,"5 khand nu pratainidhitva kare  
 
 
 Bhuru- Europe 
 Yello- Asia 
 Black-africa 
 Green-austreliya 
 Red-america 
 And 
 Flag apply first time 1920 anteverp Olympic"
1179,GM,Are yar Jetla questions nathi Avta etli to ad ave che…
1180,GM,bija video banavo sir
1181,GM,Sir koy b games vishe thodi vadhu details apva vinantii
1184,GM,.Reading ma ketlu disturb thavay che ..ad bandh karo totally ....plz...
1185,GM,"Sir khub Sara video che ,ava bija video banavajo"
1186,GM,tnkyou sar a priksa mare  mate khub adtayna che sheb pristi nbati hovathi pariksa pass karvi khubaj agtya ni che tnkyu shaheb ramto ni upere Puri mahiti muko
1188,GM,Sir tat mate jo tame physical education na mcq 9-10 ni video apoto sir thank u.
1189,GM,sport na khiladi temnu vatan na video banavo
1190,GM,world sport na video Banavo jem sachin-cricket  merikom-boksing sarapova-bedminton
1191,GM,super sir bahuj mast sir exam kyare se
1192,GM,1990 Vishwanathan anand Rajiv gandhi khel ratna award 2018 virat kohli and merra bai chanu 7.5 lakh Rs given
1218,GM,"2018-2019 na khel sathe related khiladi na questions no video banavo  
 Jem k Sachin-cricket saniyamirza tennis Rohan bapnna- bedmintten tipy video banavo"
1220,GM,saras guruji ganit mate video
1222,GM,Patavala mate muko
1223,GM,Jordar se
1224,GM,"Sir, Cricket Pitch Length 20 meter (65.61 foot) સર, વાર માં ના ખબર પડે"
1225,GM,Saras video  have high cort peon mate video moklo
1228,GM,Q.46 Answer. 5 Khando nu jodan (akikaran) sumel Bharya sambandho jalavavva mate
1229,GM,5khando   che.
1233,GM,Panch khand
1235,GM,Saras
1239,GM,High court peun mate Ramat na videos mokal ta rejo
1249,GM,5 khand darsave chhe
1250,GM,gramin olmpik gujarat ave
1251,GM,Bahu Sara sir
1252,GM,bhai pic na muko baki saru che
1253,GM,Sir methsn na basik video banavo
1257,GM,5 mahadesho
1258,GM,Very good TX sir and if possible current videos related to game upload karoo...
1259,GM,Thanks sir...
1260,GM,Thanks 😘😘😘😘
1261,GM,Gset exam releted qus ans mate
1262,GM,Guru superb
1264,GM,Me me me me jo aa bolva nu chhodi do ne saheb to duniya ni best speech aap aapi rhya chho saheb
1265,GM,wah superb  value speech
