,LABEL,COMMENT,comclean,cleaned,sen_len1,sen_len2,sen_len3,tokens
2062,HM,Yaar inke ghar Walon Ka Kya haal Hua hoga Ek Ghar Ke Do Do bete... Insaaf to milna chahiye,Yaar inke ghar Walon Ka Kya haal Hua hoga Ek Ghar Ke Do Do bete Insaaf to milna chahiye,Yaar inke ghar Walon Ka Kya haal Hua hoga Ek Ghar Ke Do Do bete Insaaf to milna chahiye,90,87,87,"['yaar', 'inke', 'ghar', 'walon', 'ka', 'kya', 'haal', 'hua', 'hoga', 'ek', 'ghar', 'ke', 'do', 'do', 'bete', 'insaaf', 'to', 'milna', 'chahiye']"
2065,HM,Lagta hai CCTV free ka mila hua hai.,Lagta hai CCTV free ka mila hua hai,Lagta hai CCTV free ka mila hua hai,36,35,35,"['lagta', 'hai', 'cctv', 'free', 'ka', 'mila', 'hua', 'hai']"
2078,HM,Sab ka saath or kiska vikash aap log samaj gaye hoge,Sab ka saath or kiska vikash aap log samaj gaye hoge,Sab ka saath or kiska vikash aap log samaj gaye hoge,52,52,52,"['sab', 'ka', 'saath', 'or', 'kiska', 'vikash', 'aap', 'log', 'samaj', 'gaye', 'hoge']"
2102,HM,Y  sale sub n Modi ko vote diya h 2024 m Modi n vote dena sub acha ho jae GA,Y  sale sub n Modi ko vote diya h 2024 m Modi n vote dena sub acha ho jae GA,Y  sale sub n Modi ko vote diya h 2024 m Modi n vote dena sub acha ho jae GA,76,76,76,"['y', 'sale', 'sub', 'n', 'modi', 'ko', 'vote', 'diya', 'h', '2024', 'm', 'modi', 'n', 'vote', 'dena', 'sub', 'acha', 'ho', 'jae', 'ga']"
2103,HM,Aur gold ka rate badna chahiye ku ke rate matter nahi hay,Aur gold ka rate badna chahiye ku ke rate matter nahi hay,Aur gold ka rate badna chahiye ku ke rate matter nahi hay,57,57,57,"['aur', 'gold', 'ka', 'rate', 'badna', 'chahiye', 'ku', 'ke', 'rate', 'matter', 'nahi', 'hay']"
2129,HM,Mittriooo Achche din aaaaaa gaye,Mittriooo Achche din aaaaaa gaye,Mittriooo Achche din aaaaaa gaye,32,32,32,"['mittriooo', 'achche', 'din', 'aaaaaa', 'gaye']"
2131,HM,Modi modi modi. Anpadh ko PM banao ge to esa hi hoga.,Modi modi modi Anpadh ko PM banao ge to esa hi hoga,Modi modi modi Anpadh ko PM banao ge to esa hi hoga,53,51,51,"['modi', 'modi', 'modi', 'anpadh', 'ko', 'pm', 'banao', 'ge', 'to', 'esa', 'hi', 'hoga']"
2132,HM,Karan mandi nai hei chori hei,Karan mandi nai hei chori hei,Karan mandi nai hei chori hei,29,29,29,"['karan', 'mandi', 'nai', 'hei', 'chori', 'hei']"
2136,HM,Modi hai to Mumkin hai....😑,Modi hai to Mumkin hai😑,Modi hai to Mumkin hai,27,23,22,"['modi', 'hai', 'to', 'mumkin', 'hai']"
2140,HM,"""ZAVERI BAJAAR KE SABHI DUKAANDAARO ""CRODOPATI HAI..",ZAVERI BAJAAR KE SABHI DUKAANDAARO CRODOPATI HAI,ZAVERI BAJAAR KE SABHI DUKAANDAARO CRODOPATI HAI,52,48,48,"['zaveri', 'bajaar', 'ke', 'sabhi', 'dukaandaaro', 'crodopati', 'hai']"
2143,HM,RONAA DHONAA YE SONE KI DUKAANDAARO KO DHAANDHAA HAI.,RONAA DHONAA YE SONE KI DUKAANDAARO KO DHAANDHAA HAI,RONAA DHONAA YE SONE KI DUKAANDAARO KO DHAANDHAA HAI,53,52,52,"['ronaa', 'dhonaa', 'ye', 'sone', 'ki', 'dukaandaaro', 'ko', 'dhaandhaa', 'hai']"
2144,HM,.DESH KO KUCHH BHI DENAA NAHI CHAAHTE ORR KAARIGARO KE NAAM PE RODNAA RO-RAHE HAI,DESH KO KUCHH BHI DENAA NAHI CHAAHTE ORR KAARIGARO KE NAAM PE RODNAA RORAHE HAI,DESH KO KUCHH BHI DENAA NAHI CHAAHTE ORR KAARIGARO KE NAAM PE RODNAA RORAHE HAI,81,79,79,"['desh', 'ko', 'kuchh', 'bhi', 'denaa', 'nahi', 'chaahte', 'orr', 'kaarigaro', 'ke', 'naam', 'pe', 'rodnaa', 'rorahe', 'hai']"
2145,HM, YAH  DHANDHAA ME MUL - SONI KOI RAHAA NAHI JYAADAATAR IRAR GYAATI KE LOG YAH MALAAIDAAR DHANDHE ME PADE HAI.., YAH  DHANDHAA ME MUL  SONI KOI RAHAA NAHI JYAADAATAR IRAR GYAATI KE LOG YAH MALAAIDAAR DHANDHE ME PADE HAI, YAH  DHANDHAA ME MUL  SONI KOI RAHAA NAHI JYAADAATAR IRAR GYAATI KE LOG YAH MALAAIDAAR DHANDHE ME PADE HAI,110,107,107,"['', 'yah', 'dhandhaa', 'me', 'mul', 'soni', 'koi', 'rahaa', 'nahi', 'jyaadaatar', 'irar', 'gyaati', 'ke', 'log', 'yah', 'malaaidaar', 'dhandhe', 'me', 'pade', 'hai']"
2169,HM,Modi gujrat ka tiger hai mot se nahi darrta,Modi gujrat ka tiger hai mot se nahi darrta,Modi gujrat ka tiger hai mot se nahi darrta,43,43,43,"['modi', 'gujrat', 'ka', 'tiger', 'hai', 'mot', 'se', 'nahi', 'darrta']"
2176,HM,ser ko motki chu no ti de ne vala khud so gaya ser to ser he,ser ko motki chu no ti de ne vala khud so gaya ser to ser he,ser ko motki chu no ti de ne vala khud so gaya ser to ser he,60,60,60,"['ser', 'ko', 'motki', 'chu', 'no', 'ti', 'de', 'ne', 'vala', 'khud', 'so', 'gaya', 'ser', 'to', 'ser', 'he']"
2181,HM,Bhidu tum chinta mat karo hum tumhare Sath he Kaiku darna BABA,Bhidu tum chinta mat karo hum tumhare Sath he Kaiku darna BABA,Bhidu tum chinta mat karo hum tumhare Sath he Kaiku darna BABA,62,62,62,"['bhidu', 'tum', 'chinta', 'mat', 'karo', 'hum', 'tumhare', 'sath', 'he', 'kaiku', 'darna', 'baba']"
2191,HM,Mar gye modi ko Marne vale,Mar gye modi ko Marne vale,Mar gye modi ko Marne vale,26,26,26,"['mar', 'gye', 'modi', 'ko', 'marne', 'vale']"
2192,HM,Modi koi aam insaan nahi hai sher ka shikar kute nahi kar sakte,Modi koi aam insaan nahi hai sher ka shikar kute nahi kar sakte,Modi koi aam insaan nahi hai sher ka shikar kute nahi kar sakte,63,63,63,"['modi', 'koi', 'aam', 'insaan', 'nahi', 'hai', 'sher', 'ka', 'shikar', 'kute', 'nahi', 'kar', 'sakte']"
2203,HM,મોદીજી.કો.કોઈ.નહી માર સકતા,મોદીજીકોકોઈનહી માર સકતા,મોદીજીકોકોઈનહી માર સકતા,26,23,23,"['મોદીજીકોકોઈનહી', 'માર', 'સકતા']"
2205,HM,मोदी to मोदी he,मोदी to मोदी he,मोदी to मोदी he,15,15,15,"['मोदी', 'to', 'मोदी', 'he']"
2208,HM,"Modi ji desh he    
 Kyu ki modi ji hmesa  
 Desh ka bhla jaha he  
 Or  pure desh ka bhla kar Ne ke liye time to lge gahi bhai","Modi ji desh he    
 Kyu ki modi ji hmesa  
 Desh ka bhla jaha he  
 Or  pure desh ka bhla kar Ne ke liye time to lge gahi bhai","Modi ji desh he    
 Kyu ki modi ji hmesa  
 Desh ka bhla jaha he  
 Or  pure desh ka bhla kar Ne ke liye time to lge gahi bhai",127,127,127,"['modi', 'ji', 'desh', 'he', 'kyu', 'ki', 'modi', 'ji', 'hmesa', 'desh', 'ka', 'bhla', 'jaha', 'he', 'or', 'pure', 'desh', 'ka', 'bhla', 'kar', 'ne', 'ke', 'liye', 'time', 'to', 'lge', 'gahi', 'bhai']"
2222,HM,Modi sar he,Modi sar he,Modi sar he,11,11,11,"['modi', 'sar', 'he']"
2224,HM,Feku chacha,Feku chacha,Feku chacha,11,11,11,"['feku', 'chacha']"
2230,HM,મોદી સેર છે,મોદી સેર છે,મોદી સેર છે,11,11,11,"['મોદી', 'સેર', 'છે']"
2246,HM,Modi Hindustan ka Wazir Azam hai aur woh Sher Hai Bhagwa Dhari Se Kisi ke baap ki takat nahi hai,Modi Hindustan ka Wazir Azam hai aur woh Sher Hai Bhagwa Dhari Se Kisi ke baap ki takat nahi hai,Modi Hindustan ka Wazir Azam hai aur woh Sher Hai Bhagwa Dhari Se Kisi ke baap ki takat nahi hai,96,96,96,"['modi', 'hindustan', 'ka', 'wazir', 'azam', 'hai', 'aur', 'woh', 'sher', 'hai', 'bhagwa', 'dhari', 'se', 'kisi', 'ke', 'baap', 'ki', 'takat', 'nahi', 'hai']"
2251,HM,"Kisike bapki takat nahi he jo modi Ko mar sake  
 Jay modi 
 Jay B.J.P","Kisike bapki takat nahi he jo modi Ko mar sake  
 Jay modi 
 Jay BJP","Kisike bapki takat nahi he jo modi Ko mar sake  
 Jay modi 
 Jay BJP",70,68,68,"['kisike', 'bapki', 'takat', 'nahi', 'he', 'jo', 'modi', 'ko', 'mar', 'sake', 'jay', 'modi', 'jay', 'bjp']"
2264,HM,Abe modi gaya 2019 ma only kongres beta કોંગ્રેસ,Abe modi gaya 2019 ma only kongres beta કોંગ્રેસ,Abe modi gaya 2019 ma only kongres beta કોંગ્રેસ,48,48,48,"['abe', 'modi', 'gaya', '2019', 'ma', 'only', 'kongres', 'beta', 'કોંગ્રેસ']"
2284,HM,modi ka koi kuch bigad nhi skta,modi ka koi kuch bigad nhi skta,modi ka koi kuch bigad nhi skta,31,31,31,"['modi', 'ka', 'koi', 'kuch', 'bigad', 'nhi', 'skta']"
2285,HM,Kiski majal he jab sher ata tab kutte bhokte he,Kiski majal he jab sher ata tab kutte bhokte he,Kiski majal he jab sher ata tab kutte bhokte he,47,47,47,"['kiski', 'majal', 'he', 'jab', 'sher', 'ata', 'tab', 'kutte', 'bhokte', 'he']"
2287,HM,pacl campni ka peisa kha gaya modi,pacl campni ka peisa kha gaya modi,pacl campni ka peisa kha gaya modi,34,34,34,"['pacl', 'campni', 'ka', 'peisa', 'kha', 'gaya', 'modi']"
2290,HM,modiji ne marava vala dhamki aapanar he Insan aachhe aarami ko kuchha  hu va to bhagavan ke darabar me aapko nyay nahi milega  desh ke bhagavan ko bacha rakho,modiji ne marava vala dhamki aapanar he Insan aachhe aarami ko kuchha  hu va to bhagavan ke darabar me aapko nyay nahi milega  desh ke bhagavan ko bacha rakho,modiji ne marava vala dhamki aapanar he Insan aachhe aarami ko kuchha  hu va to bhagavan ke darabar me aapko nyay nahi milega  desh ke bhagavan ko bacha rakho,158,158,158,"['modiji', 'ne', 'marava', 'vala', 'dhamki', 'aapanar', 'he', 'insan', 'aachhe', 'aarami', 'ko', 'kuchha', 'hu', 'va', 'to', 'bhagavan', 'ke', 'darabar', 'me', 'aapko', 'nyay', 'nahi', 'milega', 'desh', 'ke', 'bhagavan', 'ko', 'bacha', 'rakho']"
2292,HM,Sher he a hamara,Sher he a hamara,Sher he a hamara,16,16,16,"['sher', 'he', 'a', 'hamara']"
2300,HM,Modi ji ap tenstion mt lo a kute to bhaste rahete he,Modi ji ap tenstion mt lo a kute to bhaste rahete he,Modi ji ap tenstion mt lo a kute to bhaste rahete he,52,52,52,"['modi', 'ji', 'ap', 'tenstion', 'mt', 'lo', 'a', 'kute', 'to', 'bhaste', 'rahete', 'he']"
2309,HM,Noutanki,Noutanki,Noutanki,8,8,8,['noutanki']
2315,HM,Modi ko marneki dhamki dene vaalo ,Modi ko marneki dhamki dene vaalo ,Modi ko marneki dhamki dene vaalo ,34,34,34,"['modi', 'ko', 'marneki', 'dhamki', 'dene', 'vaalo', '']"
2317,HM,Kisike baap ki takat nahi he,Kisike baap ki takat nahi he,Kisike baap ki takat nahi he,28,28,28,"['kisike', 'baap', 'ki', 'takat', 'nahi', 'he']"
2320,HM,Ab ki bar bhi modi sarkar Jay hind,Ab ki bar bhi modi sarkar Jay hind,Ab ki bar bhi modi sarkar Jay hind,34,34,34,"['ab', 'ki', 'bar', 'bhi', 'modi', 'sarkar', 'jay', 'hind']"
2325,HM,Har  har  modiji,Har  har  modiji,Har  har  modiji,16,16,16,"['har', 'har', 'modiji']"
2326,HM,Modiji    salamat  raho  saaj  raho,Modiji    salamat  raho  saaj  raho,Modiji    salamat  raho  saaj  raho,35,35,35,"['modiji', 'salamat', 'raho', 'saaj', 'raho']"
2364,HM,Ye fake video hai,Ye fake video hai,Ye fake video hai,17,17,17,"['ye', 'fake', 'video', 'hai']"
2375,HM,Modiji ka kush hone Vala nahi hai.,Modiji ka kush hone Vala nahi hai,Modiji ka kush hone Vala nahi hai,34,33,33,"['modiji', 'ka', 'kush', 'hone', 'vala', 'nahi', 'hai']"
2376,HM,Modi ka koi Bal bi waka nhi kr sakta h Bhai bhokne wale kutte h. Sub,Modi ka koi Bal bi waka nhi kr sakta h Bhai bhokne wale kutte h Sub,Modi ka koi Bal bi waka nhi kr sakta h Bhai bhokne wale kutte h Sub,68,67,67,"['modi', 'ka', 'koi', 'bal', 'bi', 'waka', 'nhi', 'kr', 'sakta', 'h', 'bhai', 'bhokne', 'wale', 'kutte', 'h', 'sub']"
2381,HM,Dusmano ke  ghar me mardenge jamp modi ko mar sake nahi kisime dam,Dusmano ke  ghar me mardenge jamp modi ko mar sake nahi kisime dam,Dusmano ke  ghar me mardenge jamp modi ko mar sake nahi kisime dam,66,66,66,"['dusmano', 'ke', 'ghar', 'me', 'mardenge', 'jamp', 'modi', 'ko', 'mar', 'sake', 'nahi', 'kisime', 'dam']"
2383,HM,modikokoinhimarsakta om nmhsivay,modikokoinhimarsakta om nmhsivay,modikokoinhimarsakta om nmhsivay,32,32,32,"['modikokoinhimarsakta', 'om', 'nmhsivay']"
2398,HM,"Ku chh achchha sapana dekho  
 Jasa ki modi we Kai sent bache  
 Modi ki jay","Ku chh achchha sapana dekho  
 Jasa ki modi we Kai sent bache  
 Modi ki jay","Ku chh achchha sapana dekho  
 Jasa ki modi we Kai sent bache  
 Modi ki jay",76,76,76,"['ku', 'chh', 'achchha', 'sapana', 'dekho', 'jasa', 'ki', 'modi', 'we', 'kai', 'sent', 'bache', 'modi', 'ki', 'jay']"
2399,HM,mandi ke karan ka muda na dikhane ka natak hai,mandi ke karan ka muda na dikhane ka natak hai,mandi ke karan ka muda na dikhane ka natak hai,46,46,46,"['mandi', 'ke', 'karan', 'ka', 'muda', 'na', 'dikhane', 'ka', 'natak', 'hai']"
2400,HM,Ye sala panoti marega nahi logo la jivan haram kerne ke liya janam liya,Ye sala panoti marega nahi logo la jivan haram kerne ke liya janam liya,Ye sala panoti marega nahi logo la jivan haram kerne ke liya janam liya,71,71,71,"['ye', 'sala', 'panoti', 'marega', 'nahi', 'logo', 'la', 'jivan', 'haram', 'kerne', 'ke', 'liya', 'janam', 'liya']"
