,LABEL,COMMENT,comclean,cleaned,sen_len1,sen_len2,sen_len3,tokens
2166,HP,मोदी साला मादरचोद है फेकु है उसे कोन मारेगा भगवा साला फेरी है,मोदी साला मादरचोद है फेकु है उसे कोन मारेगा भगवा साला फेरी है,मोदी साला मादरचोद है फेकु है उसे कोन मारेगा भगवा साला फेरी है,61,61,61,"['मोदी', 'साला', 'मादरचोद', 'है', 'फेकु', 'है', 'उसे', 'कोन', 'मारेगा', 'भगवा', 'साला', 'फेरी', 'है']"
2229,HP,मोदी और योगी सबसे बड़ा भोगी,मोदी और योगी सबसे बड़ा भोगी,मोदी और योगी सबसे बड़ा भोगी,26,26,26,"['मोदी', 'और', 'योगी', 'सबसे', 'बड़ा', 'भोगी']"
2258,HP,मोदी दुश्मनों के बाप है,मोदी दुश्मनों के बाप है,मोदी दुश्मनों के बाप है,23,23,23,"['मोदी', 'दुश्मनों', 'के', 'बाप', 'है']"
2263,HP,🇮🇪💪जय जय मोदी 💪जय जय योगी 💪💪,🇮🇪💪जय जय मोदी 💪जय जय योगी 💪💪,जय जय मोदी जय जय योगी ,28,28,22,"['जय', 'जय', 'मोदी', 'जय', 'जय', 'योगी', '']"
2273,HP,मोदी के सामने एक बार नजर मिलाकर तो देखो। ,मोदी के सामने एक बार नजर मिलाकर तो देखो। ,मोदी के सामने एक बार नजर मिलाकर तो देखो। ,41,41,41,"['मोदी', 'के', 'सामने', 'एक', 'बार', 'नजर', 'मिलाकर', 'तो', 'देखो।', '']"
2274,HP,पीठ पीछे तो सब बोलते हैं। ,पीठ पीछे तो सब बोलते हैं। ,पीठ पीछे तो सब बोलते हैं। ,26,26,26,"['पीठ', 'पीछे', 'तो', 'सब', 'बोलते', 'हैं।', '']"
2281,HP,धमकी तो अलग बात है। मोदी जी जब तक शांत है तो ठीक है। बोलने दो सबको।,धमकी तो अलग बात है। मोदी जी जब तक शांत है तो ठीक है। बोलने दो सबको।,धमकी तो अलग बात है। मोदी जी जब तक शांत है तो ठीक है। बोलने दो सबको।,67,67,67,"['धमकी', 'तो', 'अलग', 'बात', 'है।', 'मोदी', 'जी', 'जब', 'तक', 'शांत', 'है', 'तो', 'ठीक', 'है।', 'बोलने', 'दो', 'सबको।']"
2286,HP,मोदी छुटने हारी गायों से उत्तर प्रदेश में एकला माटे आपदा शरीयत न्यू भानो कार्ड चेक,मोदी छुटने हारी गायों से उत्तर प्रदेश में एकला माटे आपदा शरीयत न्यू भानो कार्ड चेक,मोदी छुटने हारी गायों से उत्तर प्रदेश में एकला माटे आपदा शरीयत न्यू भानो कार्ड चेक,82,82,82,"['मोदी', 'छुटने', 'हारी', 'गायों', 'से', 'उत्तर', 'प्रदेश', 'में', 'एकला', 'माटे', 'आपदा', 'शरीयत', 'न्यू', 'भानो', 'कार्ड', 'चेक']"
2289,HP,भरत मेर,भरत मेर,भरत मेर,7,7,7,"['भरत', 'मेर']"
2301,HP,क्या आप मुझसे दोस्ती करोगे,क्या आप मुझसे दोस्ती करोगे,क्या आप मुझसे दोस्ती करोगे,26,26,26,"['क्या', 'आप', 'मुझसे', 'दोस्ती', 'करोगे']"
2343,HP,मोदीजीकोसारेदशकाआसीरवादहैमोदीजीकोकोइभीमारनहीसकता,मोदीजीकोसारेदशकाआसीरवादहैमोदीजीकोकोइभीमारनहीसकता,मोदीजीकोसारेदशकाआसीरवादहैमोदीजीकोकोइभीमारनहीसकता,48,48,48,['मोदीजीकोसारेदशकाआसीरवादहैमोदीजीकोकोइभीमारनहीसकता']
2365,HP,देश के प्रधानमंत्री आदरणीय श्री नरेन्द्र मोदी साहब की भोलेनाथ शिवजी रक्षा करेंगे ।,देश के प्रधानमंत्री आदरणीय श्री नरेन्द्र मोदी साहब की भोलेनाथ शिवजी रक्षा करेंगे ।,देश के प्रधानमंत्री आदरणीय श्री नरेन्द्र मोदी साहब की भोलेनाथ शिवजी रक्षा करेंगे ।,82,82,82,"['देश', 'के', 'प्रधानमंत्री', 'आदरणीय', 'श्री', 'नरेन्द्र', 'मोदी', 'साहब', 'की', 'भोलेनाथ', 'शिवजी', 'रक्षा', 'करेंगे', '।']"
2377,HP,जुठ न बोलो मोदीजी को कोई सु भी नही सकते,जुठ न बोलो मोदीजी को कोई सु भी नही सकते,जुठ न बोलो मोदीजी को कोई सु भी नही सकते,39,39,39,"['जुठ', 'न', 'बोलो', 'मोदीजी', 'को', 'कोई', 'सु', 'भी', 'नही', 'सकते']"
2378,HP,किसी मे  दगा  करना   कायरता  का  काम,किसी मे  दगा  करना   कायरता  का  काम,किसी मे  दगा  करना   कायरता  का  काम,36,36,36,"['किसी', 'मे', 'दगा', 'करना', 'कायरता', 'का', 'काम']"
2380,HP,मोदी के जानीदूशमन कहिं और मत ढूंढना बीजेपी वाले ही करेंगे कयोंकि खुद मोदी ने क्ई बीजेपी नेताओं को हमेसा के लिए रास्ते से हटादीया है जो बोओगे वही काटोगे,मोदी के जानीदूशमन कहिं और मत ढूंढना बीजेपी वाले ही करेंगे कयोंकि खुद मोदी ने क्ई बीजेपी नेताओं को हमेसा के लिए रास्ते से हटादीया है जो बोओगे वही काटोगे,मोदी के जानीदूशमन कहिं और मत ढूंढना बीजेपी वाले ही करेंगे कयोंकि खुद मोदी ने क्ई बीजेपी नेताओं को हमेसा के लिए रास्ते से हटादीया है जो बोओगे वही काटोगे,151,151,151,"['मोदी', 'के', 'जानीदूशमन', 'कहिं', 'और', 'मत', 'ढूंढना', 'बीजेपी', 'वाले', 'ही', 'करेंगे', 'कयोंकि', 'खुद', 'मोदी', 'ने', 'क्ई', 'बीजेपी', 'नेताओं', 'को', 'हमेसा', 'के', 'लिए', 'रास्ते', 'से', 'हटादीया', 'है', 'जो', 'बोओगे', 'वही', 'काटोगे']"
2567,HP,वाह हीमेस रेसमीया तुम गुजराती हौ,वाह हीमेस रेसमीया तुम गुजराती हौ,वाह हीमेस रेसमीया तुम गुजराती हौ,32,32,32,"['वाह', 'हीमेस', 'रेसमीया', 'तुम', 'गुजराती', 'हौ']"
2693,HP,वाह हिमेश बापू,वाह हिमेश बापू,वाह हिमेश बापू,14,14,14,"['वाह', 'हिमेश', 'बापू']"
2858,HP,समझ कुछ नहीं आया लेकिन सुनकर अच्छा लगा। Luv u HR,समझ कुछ नहीं आया लेकिन सुनकर अच्छा लगा। Luv u HR,समझ कुछ नहीं आया लेकिन सुनकर अच्छा लगा। Luv u HR,48,48,48,"['समझ', 'कुछ', 'नहीं', 'आया', 'लेकिन', 'सुनकर', 'अच्छा', 'लगा।', 'luv', 'u', 'hr']"
2879,HP,हे भगवान  ,हे भगवान  ,हे भगवान  ,10,10,10,"['हे', 'भगवान', '']"
2881,HP, ये क्या हो रहा है । , ये क्या हो रहा है । , ये क्या हो रहा है । ,21,21,21,"['', 'ये', 'क्या', 'हो', 'रहा', 'है', '।', '']"
2882,HP, गुजराती , गुजराती , गुजराती ,9,9,9,"['', 'गुजराती', '']"
3431,HP,पुलिस के मूल्यों से पिटने के लिए है । देखते ही गोली क्यों नहीं मार दी दंगाइयों को प्रशासन को मुल्लों को देखते ही गोली मारने के आदेश दे देनी चाहिए,पुलिस के मूल्यों से पिटने के लिए है । देखते ही गोली क्यों नहीं मार दी दंगाइयों को प्रशासन को मुल्लों को देखते ही गोली मारने के आदेश दे देनी चाहिए,पुलिस के मूल्यों से पिटने के लिए है । देखते ही गोली क्यों नहीं मार दी दंगाइयों को प्रशासन को मुल्लों को देखते ही गोली मारने के आदेश दे देनी चाहिए,145,145,145,"['पुलिस', 'के', 'मूल्यों', 'से', 'पिटने', 'के', 'लिए', 'है', '।', 'देखते', 'ही', 'गोली', 'क्यों', 'नहीं', 'मार', 'दी', 'दंगाइयों', 'को', 'प्रशासन', 'को', 'मुल्लों', 'को', 'देखते', 'ही', 'गोली', 'मारने', 'के', 'आदेश', 'दे', 'देनी', 'चाहिए']"
3432,HP,सब मालूम है किसी यह कानून इनके विरोध में नहीं है यह अपनी भड़ास निकाल रहे हैं धारा 370 और राम मंदिर और तीन तलाक की,सब मालूम है किसी यह कानून इनके विरोध में नहीं है यह अपनी भड़ास निकाल रहे हैं धारा 370 और राम मंदिर और तीन तलाक की,सब मालूम है किसी यह कानून इनके विरोध में नहीं है यह अपनी भड़ास निकाल रहे हैं धारा 370 और राम मंदिर और तीन तलाक की,113,113,113,"['सब', 'मालूम', 'है', 'किसी', 'यह', 'कानून', 'इनके', 'विरोध', 'में', 'नहीं', 'है', 'यह', 'अपनी', 'भड़ास', 'निकाल', 'रहे', 'हैं', 'धारा', '370', 'और', 'राम', 'मंदिर', 'और', 'तीन', 'तलाक', 'की']"
3572,HP,"मस्त गाना है जी, और आप भी बहुत मस्त हो",मस्त गाना है जी और आप भी बहुत मस्त हो,मस्त गाना है जी और आप भी बहुत मस्त हो,38,37,37,"['मस्त', 'गाना', 'है', 'जी', 'और', 'आप', 'भी', 'बहुत', 'मस्त', 'हो']"
3634,HP,मेरे खेल की कहानी का पालन करें ,मेरे खेल की कहानी का पालन करें ,मेरे खेल की कहानी का पालन करें ,31,31,31,"['मेरे', 'खेल', 'की', 'कहानी', 'का', 'पालन', 'करें', '']"
3635,HP,कृपया मुझे एक स्पैप्टिक म्यूजिक क्वेटर के रूप में अपने जीवन को पूरा करने में मदद करें। ,कृपया मुझे एक स्पैप्टिक म्यूजिक क्वेटर के रूप में अपने जीवन को पूरा करने में मदद करें। ,कृपया मुझे एक स्पैप्टिक म्यूजिक क्वेटर के रूप में अपने जीवन को पूरा करने में मदद करें। ,87,87,87,"['कृपया', 'मुझे', 'एक', 'स्पैप्टिक', 'म्यूजिक', 'क्वेटर', 'के', 'रूप', 'में', 'अपने', 'जीवन', 'को', 'पूरा', 'करने', 'में', 'मदद', 'करें।', '']"
3764,HP,एक भाई के लिए उसकी बहन हमेशा Best Friend होती है,एक भाई के लिए उसकी बहन हमेशा Best Friend होती है,एक भाई के लिए उसकी बहन हमेशा Best Friend होती है,48,48,48,"['एक', 'भाई', 'के', 'लिए', 'उसकी', 'बहन', 'हमेशा', 'best', 'friend', 'होती', 'है']"
3765,HP,एक हज़ारों में मेरी बहना हैं,एक हज़ारों में मेरी बहना हैं,एक हज़ारों में मेरी बहना हैं,27,27,27,"['एक', 'हज़ारों', 'में', 'मेरी', 'बहना', 'हैं']"
3766,HP,"फूलों का तारों का सबका कहना हैं, ",फूलों का तारों का सबका कहना हैं ,फूलों का तारों का सबका कहना हैं ,33,32,32,"['फूलों', 'का', 'तारों', 'का', 'सबका', 'कहना', 'हैं', '']"
3882,HP,वाह क्या बात है  अदभुत ।,वाह क्या बात है  अदभुत ।,वाह क्या बात है  अदभुत ।,24,24,24,"['वाह', 'क्या', 'बात', 'है', 'अदभुत', '।']"
3905,HP,वाह भाई सद्भूत रचना,वाह भाई सद्भूत रचना,वाह भाई सद्भूत रचना,19,19,19,"['वाह', 'भाई', 'सद्भूत', 'रचना']"
3919,HP,ये नही देखा तो कुश नही देखा ,ये नही देखा तो कुश नही देखा ,ये नही देखा तो कुश नही देखा ,28,28,28,"['ये', 'नही', 'देखा', 'तो', 'कुश', 'नही', 'देखा', '']"
3966,HP,वनी माने रे बुलाओ रे कमरिया रे कमरिया सुपर मास्टर गीत बनाई हो अन सुपर,वनी माने रे बुलाओ रे कमरिया रे कमरिया सुपर मास्टर गीत बनाई हो अन सुपर,वनी माने रे बुलाओ रे कमरिया रे कमरिया सुपर मास्टर गीत बनाई हो अन सुपर,69,69,69,"['वनी', 'माने', 'रे', 'बुलाओ', 'रे', 'कमरिया', 'रे', 'कमरिया', 'सुपर', 'मास्टर', 'गीत', 'बनाई', 'हो', 'अन', 'सुपर']"
4104,HP,राहुल,राहुल,राहुल,5,5,5,['राहुल']
4139,HP,भोजपुरि,भोजपुरि,भोजपुरि,7,7,7,['भोजपुरि']
4151,HP,सुपर,सुपर,सुपर,4,4,4,['सुपर']
4160,HP, बहुत प्यारा गाना है, बहुत प्यारा गाना है, बहुत प्यारा गाना है,20,20,20,"['', 'बहुत', 'प्यारा', 'गाना', 'है']"
4280,HP,राहुल गांधी,राहुल गांधी,राहुल गांधी,11,11,11,"['राहुल', 'गांधी']"
4297,HP,रिघीआयलवयु,रिघीआयलवयु,रिघीआयलवयु,10,10,10,['रिघीआयलवयु']
4314,HP,वाह विजय सुवाड़ा वार्ता रिमोट,वाह विजय सुवाड़ा वार्ता रिमोट,वाह विजय सुवाड़ा वार्ता रिमोट,29,29,29,"['वाह', 'विजय', 'सुवाड़ा', 'वार्ता', 'रिमोट']"
4333,HP,एक नंबर,एक नंबर,एक नंबर,7,7,7,"['एक', 'नंबर']"
5264,HP,मीलेगा ? ? ?,मीलेगा   ,मीलेगा   ,12,9,9,"['मीलेगा', '']"
5388,HP,मजदूरों को मजदूरी चाहिए,मजदूरों को मजदूरी चाहिए,मजदूरों को मजदूरी चाहिए,23,23,23,"['मजदूरों', 'को', 'मजदूरी', 'चाहिए']"
6051,HP,ढोल नगाड़ा बजा करे कानुडा रानी राजा करो,ढोल नगाड़ा बजा करे कानुडा रानी राजा करो,ढोल नगाड़ा बजा करे कानुडा रानी राजा करो,39,39,39,"['ढोल', 'नगाड़ा', 'बजा', 'करे', 'कानुडा', 'रानी', 'राजा', 'करो']"
6055,HP,नाचो🤘😀,नाचो🤘😀,नाचो,6,6,4,['नाचो']
6096,HP,आपकी आवाज बहुत ही अच्छी हैं।,आपकी आवाज बहुत ही अच्छी हैं।,आपकी आवाज बहुत ही अच्छी हैं।,28,28,28,"['आपकी', 'आवाज', 'बहुत', 'ही', 'अच्छी', 'हैं।']"
6145,HP,"मतलब की दुनिया मे कोन किसका होता हे धोका वही देता हे जीसपे पुरा भरोसा होता है ,💔💔💔 I love video",मतलब की दुनिया मे कोन किसका होता हे धोका वही देता हे जीसपे पुरा भरोसा होता है 💔💔💔 I love video,मतलब की दुनिया मे कोन किसका होता हे धोका वही देता हे जीसपे पुरा भरोसा होता है  I love video,95,94,91,"['मतलब', 'की', 'दुनिया', 'मे', 'कोन', 'किसका', 'होता', 'हे', 'धोका', 'वही', 'देता', 'हे', 'जीसपे', 'पुरा', 'भरोसा', 'होता', 'है', 'i', 'love', 'video']"
6173,HP,सही में यार उस बेवफा की बहुत मेहरबानी,सही में यार उस बेवफा की बहुत मेहरबानी,सही में यार उस बेवफा की बहुत मेहरबानी,37,37,37,"['सही', 'में', 'यार', 'उस', 'बेवफा', 'की', 'बहुत', 'मेहरबानी']"
6374,HP, जो मेने खोया है उसे वापस लौटा दो ना प्लीज़ एक ही दुआ ह तुमसे, जो मेने खोया है उसे वापस लौटा दो ना प्लीज़ एक ही दुआ ह तुमसे, जो मेने खोया है उसे वापस लौटा दो ना प्लीज़ एक ही दुआ ह तुमसे,61,61,61,"['', 'जो', 'मेने', 'खोया', 'है', 'उसे', 'वापस', 'लौटा', 'दो', 'ना', 'प्लीज़', 'एक', 'ही', 'दुआ', 'ह', 'तुमसे']"
6375,HP,ए खुदा मत लिखा करो  किसी की अधूरी कहानी  ,ए खुदा मत लिखा करो  किसी की अधूरी कहानी  ,ए खुदा मत लिखा करो  किसी की अधूरी कहानी  ,41,41,41,"['ए', 'खुदा', 'मत', 'लिखा', 'करो', 'किसी', 'की', 'अधूरी', 'कहानी', '']"
6514,HP,पसंद है वीडियो,पसंद है वीडियो,पसंद है वीडियो,14,14,14,"['पसंद', 'है', 'वीडियो']"
6553,HP,बहुत बडीया गाना,बहुत बडीया गाना,बहुत बडीया गाना,15,15,15,"['बहुत', 'बडीया', 'गाना']"
6554,HP,🚩काल का भी उस पर क्या आघात हो …,🚩काल का भी उस पर क्या आघात हो …,काल का भी उस पर क्या आघात हो ,31,31,29,"['काल', 'का', 'भी', 'उस', 'पर', 'क्या', 'आघात', 'हो', '']"
6556,HP,. जिस बंदे पर महाकाल का हाथ हो..!!🕉🚩🙏, जिस बंदे पर महाकाल का हाथ हो🕉🚩🙏, जिस बंदे पर महाकाल का हाथ हो,37,32,29,"['', 'जिस', 'बंदे', 'पर', 'महाकाल', 'का', 'हाथ', 'हो']"
